,Unnamed: 0,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,full-name
0,0,0,59015430,2014,1,CANCELADO,2014,2,2.6,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
1,1,0,59015430,2014,1,CANCELADO,2015,1,8.0,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
2,2,1,59073120,2014,1,CANCELADO,2014,2,0.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
3,3,2,59072580,2014,1,ATIVO,2014,2,6.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
4,4,3,59088150,2014,1,ATIVO,2014,1,3.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
5,5,3,59088150,2014,1,ATIVO,2014,2,7.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
6,6,4,59064245,2014,1,CANCELADO,2014,2,2.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
7,7,4,59064245,2014,1,CANCELADO,2015,1,2.3,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
8,8,5,59112430,2014,1,ATIVO,2014,2,8.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
9,9,6,59152780,2014,1,CANCELADO,2014,2,2.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
10,10,6,59152780,2014,1,CANCELADO,2015,1,1.2,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
11,11,6,59152780,2014,1,CANCELADO,2015,2,6.0,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
12,12,7,59020330,2014,1,ATIVO,2014,2,5.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
