,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
0,0,59015430,2014,1,CANCELADO,2014,2,2.6,0,Reprovado,2172,0,640,618
1,0,59015430,2014,1,CANCELADO,2015,1,8,0,Aprovado,2172,0,640,618
2,1,59073120,2014,1,CANCELADO,2014,2,0.1,0,Reprovado,1955,0,660,615
3,2,59072580,2014,1,ATIVO,2014,2,6.1,0,Aprovado,1959,0,560,600
4,3,59088150,2014,1,ATIVO,2014,1,3,0,Reprovado,2235,0,760,673
5,3,59088150,2014,1,ATIVO,2014,2,7.2,0,Aprovado,2235,0,760,673
6,4,59064245,2014,1,CANCELADO,2014,2,2.1,0,Reprovado,2132,0,700,642
7,4,59064245,2014,1,CANCELADO,2015,1,2.3,0,Reprovado,2132,0,700,642
8,5,59112430,2014,1,ATIVO,2014,2,8.9,0,Aprovado,1991,0,520,581
9,6,59152780,2014,1,CANCELADO,2014,2,2.4,0,Reprovado,2179,0,640,660
10,6,59152780,2014,1,CANCELADO,2015,1,1.2,0,Reprovado,2179,0,640,660
11,6,59152780,2014,1,CANCELADO,2015,2,6,0,Aprovado,2179,0,640,660
12,7,59020330,2014,1,ATIVO,2014,2,5.6,0,Aprovado,1923,0,720,647
13,8,59151610,2014,1,ATIVO,2014,2,1.5,0,Reprovado,1812,0,800,621
14,8,59151610,2014,1,ATIVO,2015,1,6.9,0,Aprovado,1812,0,800,621
15,9,59145510,2014,1,CANCELADO,2014,2,0.8,0,Reprovado,2002,0,700,663
16,9,59145510,2014,1,CANCELADO,2015,1,0.6,0,Reprovado,2002,0,700,663
17,9,59145510,2014,1,CANCELADO,2015,2,4.3,0,Reprovado,2002,0,700,663
18,10,59075260,2014,1,CANCELADO,2014,2,5.1,0,Aprovado,2268,0,760,698
19,10,59075260,2014,1,CANCELADO,2015,1,3,0,Reprovado,2268,0,760,698
20,11,59086620,2014,1,CANCELADO,2014,2,0,0,Reprovado,2036,0,720,621
21,12,59547000,2014,1,ATIVO,2014,2,2.6,0,Reprovado,2261,0,520,634
22,12,59547000,2014,1,ATIVO,2015,1,5.9,0,Aprovado,2261,0,520,634
23,13,59082180,2014,1,CANCELADO,2014,2,1.6,0,Reprovado,1946,0,820,667
24,13,59082180,2014,1,CANCELADO,2015,1,7.3,0,Aprovado,1946,0,820,667
25,14,59150500,2014,1,ATIVO,2014,2,1.2,0,Reprovado,2070,0,680,630
26,14,59150500,2014,1,ATIVO,2015,1,4.3,0,Reprovado,2070,0,680,630
27,14,59150500,2014,1,ATIVO,2015,2,7.7,0,Aprovado,2070,0,680,630
28,15,59151800,2014,1,ATIVO,2014,2,8.5,0,Aprovado,1971,0,740,662
29,16,59810000,2014,1,ATIVO,2014,2,9.8,0,Aprovado,2029,0,640,613
30,17,59115190,2014,1,TRANCADO,2014,2,2,0,Reprovado,2002,0,580,634
31,17,59115190,2014,1,TRANCADO,2015,2,1.8,0,Reprovado,2002,0,580,634
32,17,59115190,2014,1,TRANCADO,2016,1,5,0,Aprovado,2002,0,580,634
33,17,59115190,2014,1,TRANCADO,2016,2,8.1,0,Aprovado,2002,0,580,634
34,18,59050350,2014,1,CANCELADO,2014,2,3.1,0,Reprovado,2075,0,740,662
35,19,59086300,2014,1,CANCELADO,2015,2,0,0,Reprovado,2492,0,540,695
36,20,59090620,2014,1,ATIVO,2014,2,6.4,0,Aprovado,2079,0,640,616
37,21,59324000,2014,1,ATIVO,2014,2,7.5,0,Aprovado,2119,0,800,689
38,22,59054550,2014,1,CANCELADO,2014,2,3.4,0,Reprovado,2176,0,600,662
39,23,59070750,2014,2,ATIVO,2015,1,8.9,0,Aprovado,622,0,520,553
40,24,59280000,2014,1,CANCELADO,2015,1,7.6,0,Aprovado,2140,0,520,610
