,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina
0,0,59015430,2014,1,CANCELADO,2014,2,2.6,0,Reprovado
1,0,59015430,2014,1,CANCELADO,2015,1,8.0,0,Aprovado
2,1,59073120,2014,1,CANCELADO,2014,2,0.1,0,Reprovado
3,2,59072580,2014,1,ATIVO,2014,2,6.1,0,Aprovado
4,3,59088150,2014,1,ATIVO,2014,1,3.0,0,Reprovado
5,3,59088150,2014,1,ATIVO,2014,2,7.2,0,Aprovado
6,4,59064245,2014,1,CANCELADO,2014,2,2.1,0,Reprovado
7,4,59064245,2014,1,CANCELADO,2015,1,2.3,0,Reprovado
8,5,59112430,2014,1,ATIVO,2014,2,8.9,0,Aprovado
9,6,59152780,2014,1,CANCELADO,2014,2,2.4,0,Reprovado
10,6,59152780,2014,1,CANCELADO,2015,1,1.2,0,Reprovado
11,6,59152780,2014,1,CANCELADO,2015,2,6.0,0,Aprovado
12,7,59020330,2014,1,ATIVO,2014,2,5.6,0,Aprovado
13,8,59151610,2014,1,ATIVO,2014,2,1.5,0,Reprovado
14,8,59151610,2014,1,ATIVO,2015,1,6.9,0,Aprovado
15,9,59145510,2014,1,CANCELADO,2014,2,0.8,0,Reprovado
16,9,59145510,2014,1,CANCELADO,2015,1,0.6,0,Reprovado
17,9,59145510,2014,1,CANCELADO,2015,2,4.3,0,Reprovado
18,10,59075260,2014,1,CANCELADO,2014,2,5.1,0,Aprovado
19,10,59075260,2014,1,CANCELADO,2015,1,3.0,0,Reprovado
20,11,59086620,2014,1,CANCELADO,2014,2,0.0,0,Reprovado
21,12,59547000,2014,1,ATIVO,2014,2,2.6,0,Reprovado
22,12,59547000,2014,1,ATIVO,2015,1,5.9,0,Aprovado
23,13,59082180,2014,1,CANCELADO,2014,2,1.6,0,Reprovado
24,13,59082180,2014,1,CANCELADO,2015,1,7.3,0,Aprovado
25,14,59150500,2014,1,ATIVO,2014,2,1.2,0,Reprovado
26,14,59150500,2014,1,ATIVO,2015,1,4.3,0,Reprovado
27,14,59150500,2014,1,ATIVO,2015,2,7.7,0,Aprovado
28,15,59151800,2014,1,ATIVO,2014,2,8.5,0,Aprovado
29,16,59810000,2014,1,ATIVO,2014,2,9.8,0,Aprovado
30,17,59115190,2014,1,TRANCADO,2014,2,2.0,0,Reprovado
31,17,59115190,2014,1,TRANCADO,2015,2,1.8,0,Reprovado
32,17,59115190,2014,1,TRANCADO,2016,1,5.0,0,Aprovado
33,17,59115190,2014,1,TRANCADO,2016,2,8.1,0,Aprovado
34,18,59050350,2014,1,CANCELADO,2014,2,3.1,0,Reprovado
35,19,59086300,2014,1,CANCELADO,2015,2,0.0,0,Reprovado
36,20,59090620,2014,1,ATIVO,2014,2,6.4,0,Aprovado
37,21,59324000,2014,1,ATIVO,2014,2,7.5,0,Aprovado
38,22,59054550,2014,1,CANCELADO,2014,2,3.4,0,Reprovado
39,23,59070750,2014,2,ATIVO,2015,1,8.9,0,Aprovado
40,24,59280000,2014,1,CANCELADO,2015,1,7.6,0,Aprovado
41,25,59115685,2014,1,ATIVO,2016,1,7.3,0,Aprovado
42,26,59290000,2014,1,ATIVO,2014,2,1.1,0,Reprovado
43,26,59290000,2014,1,ATIVO,2015,1,0.3,0,Reprovado
44,26,59290000,2014,1,ATIVO,2015,2,6.6,0,Aprovado
45,27,59040240,2014,1,ATIVO,2014,1,5.9,0,Aprovado
46,28,59149356,2014,1,CANCELADO,2014,2,0.0,0,Reprovado
47,29,59063280,2014,1,CANCELADO,2015,1,1.9,0,Reprovado
48,29,59063280,2014,1,CANCELADO,2015,2,0.0,0,Reprovado
49,30,59094300,2014,1,ATIVO,2014,2,6.8,0,Aprovado
50,31,59020400,2014,1,ATIVO,2014,2,8.4,0,Aprovado
51,32,59106114,2014,1,CANCELADO,2015,1,1.3,0,Reprovado
52,33,59122495,2014,1,ATIVO,2014,2,7.5,0,Aprovado
53,34,51011480,2014,1,ATIVO,2014,2,0.2,0,Reprovado
54,34,51011480,2014,1,ATIVO,2015,1,5.3,0,Aprovado
55,35,59068310,2014,1,CANCELADO,2014,2,0.5,0,Reprovado
56,35,59068310,2014,1,CANCELADO,2015,1,5.5,0,Aprovado
57,36,0,2014,1,CANCELADO,2016,2,0.0,0,Reprovado
58,37,59037250,2014,1,ATIVO,2014,2,0.3,0,Reprovado
59,37,59037250,2014,1,ATIVO,2015,2,0.7,0,Reprovado
60,37,59037250,2014,1,ATIVO,2016,1,0.0,0,Reprovado
61,37,59037250,2014,1,ATIVO,2016,2,0.7,0,Reprovado
62,38,59124090,2014,1,ATIVO,2014,2,7.9,0,Aprovado
63,39,59090310,2014,1,ATIVO,2014,2,6.0,0,Aprovado
64,40,0,2014,1,CANCELADO,2014,1,1.7,0,Reprovado
65,41,59151250,2014,1,ATIVO,2014,2,7.7,0,Aprovado
66,42,59347000,2014,1,ATIVO,2014,2,1.4,0,Reprovado
67,42,59347000,2014,1,ATIVO,2015,1,5.2,0,Aprovado
68,43,59145580,2014,1,CANCELADO,2014,2,0.7,0,Reprovado
69,43,59145580,2014,1,CANCELADO,2015,1,7.4,0,Aprovado
70,44,59151903,2014,1,CANCELADO,2014,2,1.8,0,Reprovado
71,44,59151903,2014,1,CANCELADO,2015,2,2.9,0,Reprovado
72,44,59151903,2014,1,CANCELADO,2016,1,0.0,0,Reprovado
73,45,59650000,2014,1,ATIVO,2014,2,9.3,0,Aprovado
74,46,59094390,2014,1,CANCELADO,2014,2,0.7,0,Reprovado
75,46,59094390,2014,1,CANCELADO,2015,1,7.9,0,Aprovado
76,47,59088310,2014,1,ATIVO,2016,1,5.6,0,Aprovado
77,48,59150160,2014,1,ATIVO,2014,2,0.6,0,Reprovado
78,48,59150160,2014,1,ATIVO,2015,1,6.1,0,Aprovado
79,49,59074120,2014,1,CANCELADO,2015,1,0.0,0,Reprovado
80,50,59073143,2014,1,CANCELADO,2014,2,0.5,0,Reprovado
81,51,59460000,2014,1,CANCELADO,2014,1,7.4,0,Aprovado
82,52,59120520,2014,1,CANCELADO,2014,2,0.0,0,Reprovado
83,53,59068570,2014,1,CANCELADO,2015,1,0.0,0,Reprovado
84,53,59068570,2014,1,CANCELADO,2016,1,0.0,0,Reprovado
85,54,59037390,2014,1,ATIVO,2015,1,7.9,0,Aprovado
86,55,59082070,2014,1,ATIVO,2014,2,7.1,0,Aprovado
87,56,59114020,2014,1,CANCELADO,2015,1,7.5,0,Aprovado
88,57,59149300,2014,1,ATIVO,2014,2,1.1,0,Reprovado
89,57,59149300,2014,1,ATIVO,2015,1,5.9,0,Aprovado
90,58,59073140,2014,1,CONCLUIDO,2014,1,8.0,0,Aprovado
91,59,59150300,2014,1,CANCELADO,2014,2,7.6,0,Aprovado
92,60,59148630,2014,1,ATIVO,2014,2,8.7,0,Aprovado
93,61,59151400,2014,1,ATIVO,2014,2,5.1,0,Aprovado
94,61,59151400,2014,1,ATIVO,2015,1,8.1,0,Aprovado
95,62,59090500,2014,1,ATIVO,2014,2,8.1,0,Aprovado
96,63,59115555,2014,1,ATIVO,2014,2,9.9,0,Aprovado
97,64,59141300,2014,1,ATIVO,2014,2,1.9,0,Reprovado
98,64,59141300,2014,1,ATIVO,2015,1,6.1,0,Aprovado
99,65,59014020,2014,1,CANCELADO,2014,2,8.5,0,Aprovado
100,66,59080470,2014,1,CANCELADO,2014,2,1.5,0,Reprovado
101,66,59080470,2014,1,CANCELADO,2015,1,0.9,0,Reprovado
102,66,59080470,2014,1,CANCELADO,2015,2,2.8,0,Reprovado
103,67,59132694,2014,1,CANCELADO,2014,2,1.5,0,Reprovado
104,68,85980000,2014,1,CANCELADO,2015,1,0.0,0,Reprovado
105,69,53240210,2014,1,ATIVO,2014,2,0.2,0,Reprovado
106,69,53240210,2014,1,ATIVO,2016,1,1.6,0,Reprovado
107,70,59022500,2014,1,ATIVO,2014,1,9.2,0,Aprovado
108,71,59062530,2014,1,ATIVO,2014,1,4.7,0,Reprovado
109,71,59062530,2014,1,ATIVO,2014,2,7.1,0,Aprovado
110,72,59054220,2014,1,ATIVO,2014,2,7.8,0,Aprovado
111,73,0,2014,1,ATIVO,2014,1,6.6,0,Aprovado
112,74,6321200,2014,1,ATIVO,2014,2,7.6,0,Aprovado
113,75,59062570,2014,1,TRANCADO,2014,2,3.1,0,Reprovado
114,75,59062570,2014,1,TRANCADO,2015,1,6.9,0,Aprovado
115,76,59075100,2014,1,TRANCADO,2014,2,7.6,0,Aprovado
116,77,0,2014,1,ATIVO,2014,1,6.3,0,Aprovado
117,78,59460000,2014,1,CANCELADO,2014,2,5.1,0,Aprovado
118,78,59460000,2014,1,CANCELADO,2015,1,6.3,0,Aprovado
119,79,59590000,2014,1,FORMANDO,2014,2,9.4,0,Aprovado
120,80,59290000,2014,1,ATIVO,2014,2,7.4,0,Aprovado
121,81,59149390,2014,1,CANCELADO,2014,2,7.1,0,Aprovado
122,82,59080370,2014,1,CANCELADO,2014,2,0.5,0,Reprovado
123,83,59148323,2014,1,ATIVO,2014,2,6.4,0,Aprovado
124,83,59148323,2014,1,ATIVO,2015,1,8.2,0,Aprovado
